Commodity,Category,pH,Moisture_Content,Storage_Temperature,Respiration_Rate,Oxygen_Sensitivity,Moisture_Sensitivity,Light_Sensitivity,Typical_Shelf_Life,Recommended_Packaging,Packaging_Reason,Farmer_Action,
Grouper,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Tilapia,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Catfish,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Carp,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Grass carp,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Silver carp,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Mrigal,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Rohu,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Hilsa,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Pomfret,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Mahi-mahi,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Swordfish,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Marlin,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Barramundi,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Eel,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Chicken egg,Eggs & dairy,7.6–8.5 albumen; 6.0 yolk,73–76%,0–7°C*,N/A,Medium,Medium,Medium,3–5 weeks*,"Food-grade carton, bottle or high-barrier sealed container","Protects from contamination, light, oxygen and moisture while maintaining the required cold chain.",Keep hygienically handled and refrigerated when required; avoid temperature fluctuations and direct sunlight.,
Duck egg,Eggs & dairy,4.5–7.0,30–90%,0–7°C*,N/A,Medium–High,Medium–High,Medium–High,days–months*,"Food-grade carton, bottle or high-barrier sealed container","Protects from contamination, light, oxygen and moisture while maintaining the required cold chain.",Keep hygienically handled and refrigerated when required; avoid temperature fluctuations and direct sunlight.,
Quail egg,Eggs & dairy,4.5–7.0,30–90%,0–7°C*,N/A,Medium–High,Medium–High,Medium–High,days–months*,"Food-grade carton, bottle or high-barrier sealed container","Protects from contamination, light, oxygen and moisture while maintaining the required cold chain.",Keep hygienically handled and refrigerated when required; avoid temperature fluctuations and direct sunlight.,
Whole milk,Eggs & dairy,6.5–6.8,87–89%,0–4°C,N/A,Medium,Low,High,5–10 days,"Food-grade carton, bottle or high-barrier sealed container","Protects from contamination, light, oxygen and moisture while maintaining the required cold chain.",Keep hygienically handled and refrigerated when required; avoid temperature fluctuations and direct sunlight.,
Buffalo milk,Eggs & dairy,4.5–7.0,30–90%,0–7°C*,N/A,Medium–High,Medium–High,Medium–High,days–months*,"Food-grade carton, bottle or high-barrier sealed container","Protects from contamination, light, oxygen and moisture while maintaining the required cold chain.",Keep hygienically handled and refrigerated when required; avoid temperature fluctuations and direct sunlight.,
Goat milk,Eggs & dairy,4.5–7.0,30–90%,0–7°C*,N/A,Medium–High,Medium–High,Medium–High,days–months*,"Food-grade carton, bottle or high-barrier sealed container","Protects from contamination, light, oxygen and moisture while maintaining the required cold chain.",Keep hygienically handled and refrigerated when required; avoid temperature fluctuations and direct sunlight.,
Sheep milk,Eggs & dairy,4.5–7.0,30–90%,0–7°C*,N/A,Medium–High,Medium–High,Medium–High,days–months*,"Food-grade carton, bottle or high-barrier sealed container","Protects from contamination, light, oxygen and moisture while maintaining the required cold chain.",Keep hygienically handled and refrigerated when required; avoid temperature fluctuations and direct sunlight.,
Cow milk,Eggs & dairy,4.5–7.0,30–90%,0–7°C*,N/A,Medium–High,Medium–High,Medium–High,days–months*,"Food-grade carton, bottle or high-barrier sealed container","Protects from contamination, light, oxygen and moisture while maintaining the required cold chain.",Keep hygienically handled and refrigerated when required; avoid temperature fluctuations and direct sunlight.,
Skim milk,Eggs & dairy,4.5–7.0,30–90%,0–7°C*,N/A,Medium–High,Medium–High,Medium–High,days–months*,"Food-grade carton, bottle or high-barrier sealed container","Protects from contamination, light, oxygen and moisture while maintaining the required cold chain.",Keep hygienically handled and refrigerated when required; avoid temperature fluctuations and direct sunlight.,
Cream,Eggs & dairy,4.5–7.0,30–90%,0–7°C*,N/A,Medium–High,Medium–High,Medium–High,days–months*,"Food-grade carton, bottle or high-barrier sealed container","Protects from contamination, light, oxygen and moisture while maintaining the required cold chain.",Keep hygienically handled and refrigerated when required; avoid temperature fluctuations and direct sunlight.,
Butter,Eggs & dairy,6.0–6.8,15–18%,0–4°C,N/A,High,Medium,High,1–6 months,"Food-grade carton, bottle or high-barrier sealed container","Protects from contamination, light, oxygen and moisture while maintaining the required cold chain.",Keep hygienically handled and refrigerated when required; avoid temperature fluctuations and direct sunlight.,
Ghee,Eggs & dairy,4.5–7.0,30–90%,0–7°C*,N/A,Medium–High,Medium–High,Medium–High,days–months*,"Food-grade carton, bottle or high-barrier sealed container","Protects from contamination, light, oxygen and moisture while maintaining the required cold chain.",Keep hygienically handled and refrigerated when required; avoid temperature fluctuations and direct sunlight.,
Cheddar cheese,Eggs & dairy,4.5–7.0,30–90%,0–7°C*,N/A,Medium–High,Medium–High,Medium–High,days–months*,"Food-grade carton, bottle or high-barrier sealed container","Protects from contamination, light, oxygen and moisture while maintaining the required cold chain.",Keep hygienically handled and refrigerated when required; avoid temperature fluctuations and direct sunlight.,
Mozzarella cheese,Eggs & dairy,4.5–7.0,30–90%,0–7°C*,N/A,Medium–High,Medium–High,Medium–High,days–months*,"Food-grade carton, bottle or high-barrier sealed container","Protects from contamination, light, oxygen and moisture while maintaining the required cold chain.",Keep hygienically handled and refrigerated when required; avoid temperature fluctuations and direct sunlight.,
Parmesan cheese,Eggs & dairy,4.5–7.0,30–90%,0–7°C*,N/A,Medium–High,Medium–High,Medium–High,days–months*,"Food-grade carton, bottle or high-barrier sealed container","Protects from contamination, light, oxygen and moisture while maintaining the required cold chain.",Keep hygienically handled and refrigerated when required; avoid temperature fluctuations and direct sunlight.,
Gouda cheese,Eggs & dairy,4.5–7.0,30–90%,0–7°C*,N/A,Medium–High,Medium–High,Medium–High,days–months*,"Food-grade carton, bottle or high-barrier sealed container","Protects from contamination, light, oxygen and moisture while maintaining the required cold chain.",Keep hygienically handled and refrigerated when required; avoid temperature fluctuations and direct sunlight.,
Edam cheese,Eggs & dairy,4.5–7.0,30–90%,0–7°C*,N/A,Medium–High,Medium–High,Medium–High,days–months*,"Food-grade carton, bottle or high-barrier sealed container","Protects from contamination, light, oxygen and moisture while maintaining the required cold chain.",Keep hygienically handled and refrigerated when required; avoid temperature fluctuations and direct sunlight.,
Swiss cheese,Eggs & dairy,4.5–7.0,30–90%,0–7°C*,N/A,Medium–High,Medium–High,Medium–High,days–months*,"Food-grade carton, bottle or high-barrier sealed container","Protects from contamination, light, oxygen and moisture while maintaining the required cold chain.",Keep hygienically handled and refrigerated when required; avoid temperature fluctuations and direct sunlight.,
Brie cheese,Eggs & dairy,4.5–7.0,30–90%,0–7°C*,N/A,Medium–High,Medium–High,Medium–High,days–months*,"Food-grade carton, bottle or high-barrier sealed container","Protects from contamination, light, oxygen and moisture while maintaining the required cold chain.",Keep hygienically handled and refrigerated when required; avoid temperature fluctuations and direct sunlight.,
